group_key,guard,detail
"FLUTICASONE FUROATE + UMECLIDINIUM + VILANTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE FUROATE 100 MICROGRAMS WITH UMECLIDINIUM 62.5 MICROGRAMS (AS BROMIDE) AND VILANTEROL 25 MICROGRAMS (AS TRIFENATATE) PER DOSE, 30 DOSES",low_uptake,60-day share 3.0% of group volume
"FLUTICASONE FUROATE + UMECLIDINIUM + VILANTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE FUROATE 200 MICROGRAMS WITH UMECLIDINIUM 62.5 MICROGRAMS (AS BROMIDE) AND VILANTEROL 25 MICROGRAMS (AS TRIFENATATE) PER DOSE, 30 DOSES",no_substitution,"30-day mean 26802 -> 28251, did not fall"
"FLUTICASONE FUROATE + UMECLIDINIUM + VILANTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE FUROATE 200 MICROGRAMS WITH UMECLIDINIUM 62.5 MICROGRAMS (AS BROMIDE) AND VILANTEROL 25 MICROGRAMS (AS TRIFENATATE) PER DOSE, 30 DOSES",low_uptake,60-day share 4.1% of group volume
"FLUTICASONE FUROATE + VILANTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE FUROATE 100 MICROGRAMS WITH VILANTEROL 25 MICROGRAMS (AS TRIFENATATE) PER DOSE, 30 DOSES",low_uptake,60-day share 3.4% of group volume
"FLUTICASONE FUROATE + VILANTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE FUROATE 200 MICROGRAMS WITH VILANTEROL 25 MICROGRAMS (AS TRIFENATATE) PER DOSE, 30 DOSES",low_uptake,60-day share 3.0% of group volume
"FLUTICASONE FUROATE | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE FUROATE 100 MICROGRAMS PER DOSE, 30 DOSES",low_uptake,60-day share 4.3% of group volume
"FLUTICASONE FUROATE | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE FUROATE 200 MICROGRAMS PER DOSE, 30 DOSES",low_uptake,60-day share 3.4% of group volume
"FLUTICASONE PROPIONATE + FORMOTEROL | PRESSURISED INHALATION CONTAINING FLUTICASONE PROPIONATE 125 MICROGRAMS WITH FORMOTEROL FUMARATE DIHYDRATE 5 MICROGRAMS PER DOSE, 120 DOSES",low_uptake,60-day share 3.8% of group volume
"FLUTICASONE PROPIONATE + FORMOTEROL | PRESSURISED INHALATION CONTAINING FLUTICASONE PROPIONATE 250 MICROGRAMS WITH FORMOTEROL FUMARATE DIHYDRATE 10 MICROGRAMS PER DOSE, 120 DOSES",low_uptake,60-day share 2.9% of group volume
"FLUTICASONE PROPIONATE + SALMETEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE PROPIONATE 250 MICROGRAMS WITH SALMETEROL 50 MICROGRAMS (AS XINAFOATE) PER DOSE, 60 DOSES",low_uptake,60-day share 4.0% of group volume
"FLUTICASONE PROPIONATE + SALMETEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE PROPIONATE 500 MICROGRAMS WITH SALMETEROL 50 MICROGRAMS (AS XINAFOATE) PER DOSE, 60 DOSES",low_uptake,60-day share 3.1% of group volume
